id,contact_first_name,contact_last_name,company_name,primary_phone_number,secondary_phone_number,email_address,availability_id,preferred_contact_method,website
,,,Jay's Cleaning Services,607-592-7327,,,87,Both,http://jayscleaning.xyz/
,,,Leonard Vacuum & Janitorial Supply,6072723434,,info@leonardsvacuumandjanitorialsupplies.com,88,Phone,www.leonardsvacuumandjanitorialsupplies.com
,,,Life Maid Heavenly ,6072795770,,info@ithacaclean.com,89,Both,https://ithacaclean.com
,,,"MacPherson Builders, Inc.",6072732373,,info@mcphersonbuilders.com,90,Phone,www.mcphersonbuilders.com
,,,Mancini-Ferrara and Sons,(607) 272-3600,,,91,Phone,https://www.mancini-ferrara.com/
,,,Mimi's Attic,607-882-9038,,info@mimisatticithaca.com,92,Phone,www.mimisatticithaca.com
,,,Movers Etc LLC,6079721723,6073670047,moveretcny@gmail.com,93,Both,
,,,Patterson's Service Station,607-273-0322,,,94,Phone,www.pattersonsservice.com
,,,Perfect Painters-Heritage Builders,607-277-6260,,customerservice@perfect-heritage.com,95,Email,
,,,Pleasant Valley Electrical,607-272-6922,,,96,Phone,www.pleasantvalleyelectric.com
,,,"Pro-Lawn Landscaping & Excavating, Inc.",607-277-5296,,sales@pro-lawn.com,97,Phone,www.prolawn-proseal-ithaca.com
,,,"Sparks Electric Company, Inc.",607-273-0029,,,98,Email,
,,,Superior Glass Service,(607) 273-9100,(607) 279-5155,spuperiorglass@frontier.com,99,Phone,
,,,Sweeney's Pest Elimination,(607) 283-2772,,,100,Phone,https://www.sweeneyspest.com
,,,Witty Appliance Repair,607-753-0407,,bwitty1@twcny.rr.com,101,Email,http://www.wittyapplianceservicerepair.com/
,,,Yaman Construction,607-697-0151,,,102,Phone,
,Brandon,,Gadget Repair Pro,607-288-2266,,service@gadgetrepairpro.com,103,Email,www.gadgetrepairpro.com
,Chris,,"Precision Builders, Inc.",6072727321,,stoscheckbldrs@aol.com,104,Phone,precisionbuildersithaca.com
,Dave,,JDog Junk Removal,,795-6336,,105,Phone,
,Garth,,McMillen Electric,607-273-8084,,,106,Phone,
,HPM TECH SERVICES,,,,,,107,Phone,http://www.hpmtechservices.com
,INHA,,Ithaca Neighborhood Housing,,(607) 277-4500,,108,Phone,https://www.ithacanhs.org/improve/small-home-repairs/
,Jeremy,,Terrasana Landscaping,607-542-9016,,jeremy@terrasanalandscaping.com,109,Phone,www.terrasanagardens.com
,Katie Thompson & Hea,,Crystal Clear Cleaning,,607-227-5574,,110,Phone,
,Keith,,Limbwalker Tree Care,607-351-1838,,keith@ithacatreecare.com,111,Phone,www.ithacatreecare.com
,Ken,Adams,ABC Oriental Rug & Carpet Cleaning Co.,(607) 272-1566,,info@abcclean.com,112,Phone,www.abc-oriental-rug.com
,,Alex Cole Paving Inc.,Alex Cole Paving Inc. (Masonry/Concrete),607-533-9274,,,113,Phone,
,Rose,Arena,Rose's Home Dish,(607) 229-2416,,roseshomedish@gmail.com,114,Email,www.roseshomedish.com
,Ann,Axtell,"Cascadilla Tree Care of Ithaca, LLC",(607) 272-5447,(607) 279-5532,cascadillatreecare@gmail.com,115,Email,www.cascadillatreecare.com
,Rick,Bayo ,Green Scene Lawn and Garden,(607) 327-0394.,,rick@greenscenelg.com,116,Email,
,John,Brazo,,(607) 342-5730,,,117,Phone,
,Gary,Bucci,Dave Long Appraisal Company,607-272-4040,,longapp@longappraisal.com,118,Phone,www.longappraisal.com
,Albert,Budd,KB Electric,607-319-0808,,,119,Phone,
,Fay,Bunnell,Elder Frontiers,(607) 592-2075,,elderfrontiers@gmail.com,120,Email,
,Levi,Carling,Clean Earth Septic Service,(607) 564-7931,(607) 738-4738,cleanearth09@yahoo.com,121,Email,www.cleanearthseptic.com
,,Castle Services,Castle Services,607-279-2532,,service.castle@gmail.com,122,Both,https://castleservicesithaca.com/
,,Classen Home Health,Classen Home Health,6072771342,,,123,Phone,https://www.classenhomehealth.com/
,Betsy,Cleveland,Broom Hilda Cleaning Service ,(607) 2734406,,,124,Phone,
,John,Cochran,,,607-347-4714,,125,Phone,
,Pat,Cozzarin,Pat Cozzarin Pest Management,607-387-5552,,,126,Email,
,Gvozden,Dokic,"XOrca, Inc",(607) 539-3263,,gvozden@xorca.com,127,Email,
,John,Dowd,Zolar Moving Company,607-272-7839,,,128,Phone,www.zolarmoving.com
,Jyl,Dowd,No Dowd About It,,(607) 327-1661,nodowdaboutit2022@gmail.com,129,Both,
,J.D.,Ferro,J.D. Ferro Roofing,607-273-0872,,,130,Email,www.jdferroroofing.com
,John,Hammond,"Austin Construction, Inc.",607-539-7564,,,131,Phone,
,Hull ,Heating & Plumbing,Hull Heating and Plumbing,(607) 272-3550,,,132,Phone,www.hullheatingandplumbing.com
,Mary,Hirshfleld,Mary Hirshfeld Dog Training and Walking LLC,(607) 539-6814,(607) 227-8436,mary.hirshfeld@frontier.com,133,Email,
,,Home Instead,Home Instead,(607) 264-0285,,,134,Phone,https://www.homeinstead.com/location/842
,Jack,Litzenberger,2 Pros Construction,(607) 423-7322,,jack@2prosconstruction.com,135,Email,
,John,Manuel,,,,,136,Phone,
,Greg,Marsted,"Overhead Door of Cortland, Inc.",607-7530201,,,137,Phone,www.ohdcortland.com
,Donald,McKechnie,,607-277-7112,,dmckech@ithaca.edu,138,Phone,
,Allyson,Mooney,lifestyleorganization@weebly.com,(315) 593-9611,,,139,Phone,
,Shannon ,Moravec,,607-210-9610,,,140,Phone,
,Tom,Myers,,6072793582,607-279-3582,robiniatom@gmail.com,141,Email,
,N F,Nash Construction,,,(607) 347-4273,,142,Phone,
,Joseph,O Leary,HPM Tech Services,(607) 319-4776,(607) 319-4776,joleary1012@gmail.com,143,Email,http://www.hpmtechservices.com
,Dan,Quest,Antique Quest Estate Sales,(607) 279-2685,,antique_quest@yahoo.com,144,Email,www.theantiquequest.com
,,Schickel,Schickel Construction Co.,6078444780,,info@schickelconstruction.com,145,Phone,www.schickelconstruction.com
,Caleb,Scott,"Scott Land & Yard Services, Inc.",607-539-6858,,,146,Phone,www.scottscape.net
,Dean,Shea,Sunnybrook Builders,(607) 539-6286,,sunnybrookbuilders@gmail.com,147,Phone,www.sunnybrookbuilders.com
,Joseph,Sibley,"Bucket List Travel Attendant, LLC",(844) 332-3772,(607) 227-0160,bucketlistta@gmail.com,148,Email,www.bltravelattendant.com
,Mike,Skibinski,Mike's Complete Handyman Service,(713) 292-3035,,mskibin@gmail.com,149,Email,
,Mary,Stazi,The Computing Center,(607) 257-3524,(607) 257-3524,Rose@compcenter.com,150,Email,www.compcenter.com
,Wynnie,Stein,,,,wynniestein@hotmail.com,151,Email,
,Denise,Sullivan,,,(607) 339-7903,3denise3@gmail.com,152,Email,
,Jim,Sweasey,Sweasey Heating & Air Conditioning,607-273-6353,,,153,Phone,
,Ed,Szymanski,The Car Buyer's Advocate,(607) 539-6988,(607) 227-6488,autochopny@aol.com,154,Email,
,Michael,Taormina,House Doctor,(607) 273-0555,,,155,Phone,
,Dominic,Tarallo,East Shore Management,(607) 592-8069,,dtarallo1@gmail.com,156,Both,https://www.eastshoremanagement.com/
,Morgan,Thompson,"Thompson Tree and Crane Service, LLC",607-592-1686,,,157,Phone,
,Peter,Whitmore,Whitmore Fence Company,607-844-9011,,,158,Phone,www.whitmorefence.com
,Grant,Wilder,Window and Other Cleaner - Cayuga Commercial Cleaning,(607) 227-7622,(607) 227-7622,cayugaclean@gmail.com,159,Email,
